32, 88
75, 19
29, 78
57, 38
37, 78
92, 39
34, 48
84, 67
22, 23
40, 17
7, 1
79, 71
4, 21
35, 9
92, 86
11, 14
39, 95
24, 4
63, 14
63, 4
46, 15
59, 29
89, 55
19, 81
22, 30
9, 27
30, 79
64, 15
4, 45
56, 64
57, 74
28, 16
14, 63
36, 38
77, 40
87, 97
83, 89
78, 71
55, 41
6, 57
99, 96
80, 54
95, 85
33, 71
39, 28
64, 40
47, 3
30, 67
78, 61
4, 26
35, 92
13, 8
62, 55
85, 24
54, 70
84, 57
17, 32
99, 1
83, 12
7, 46
95, 22
15, 49
75, 25
27, 84
69, 23
6, 76
73, 37
19, 58
46, 63
78, 67
58, 47
71, 80
90, 29
57, 76
77, 90
91, 55
30, 86
39, 38
51, 87
75, 51
1, 20
32, 29
77, 56
35, 14
54, 55
42, 77
99, 17
44, 86
11, 7
38, 33
33, 34
14, 60
1, 26
74, 32
41, 5
74, 22
65, 97
15, 56
79, 88
54, 55
