3701276904,2849609523,559501166,2405797421,829233787,940967092,1301371262,430578761,3308087142,2751763756,876020722,2840676014,3907354606,2361854477,3064300372
1054380077,3470443069,2212997765,2724770649,3897677052,512265947,225619529,2286593880,3740186174,2649144645,2591108182,4277938533,964866411,3976832689,2531759106
4238644331,3786766928,1146683248,69245738,2075233263,2277244319,1565020660,771644922,3505577901,142758176,4064569338,1182516895,4160235808,1493031909,3272610411
1347732948,3174113,1181177828,2428439418,3991864412,3813150190,2125030588,2601650858,1588569812,4204967925,3287166439,1857587038,3878156682,3525322097,538015736
658142102,1240409099,3550191918,1023497770,3053978051,1306552277,3380321900,1894281271,3101452619,3891278503,2600583822,2145742133,143001764,1473653944,1313196130
253997874,3100510218,1552782515,3344610272,1501940832,1096407464,3455413547,3750854084,1439091936,3595203343,2170243575,2783245254,1718884159,2876981374,578943799
1009573370,42904458,1808340325,1452272532,1110796727,2143701009,3880630271,3465024075,2167743044,2296766518,22172226,2574418897,2047178887,2333675134,1847763169
1656699646,338374703,486589712,4151785611,2979320408,2642885425,2446136545,1247911474,2972380230,3609780828,3523861149,4250054641,3306210112,595889574,717382309
2326425927,1093482512,2534973846,3138875760,2200303781,1364994763,2286569728,2172394237,3637747469,450629411,1634167612,713795599,2259721413,1553945176,2584237731
2293914974,3384835918,225052878,2019118512,1980749910,1454325915,1153726770,725230327,1817403177,1936445959,402590774,2395233636,4037176291,1464046118,3790506563
1209005869,4247432037,3479233323,1171364425,915175843,1414851094,2498805767,1845968376,2203112896,1105461838,3688255343,3551734876,1350041466,1214687689,4058827423
652006457,3936001097,2197230869,209470043,1625515491,2399187505,763911614,3510538502,121312349,3519315597,1031589113,156058255,423014565,156695936,1895974346
1381196466,4042991524,4030777916,2457211207,588134365,1961758259,2930197724,1326607456,2188741971,65251437,4070817035,3403142760,4180360113,3553812691,2071219260
340069801,1977795317,1952428499,2894129934,2238332756,1914146230,3373658738,1463371402,449597720,438318525,222054567,1943097317,1596677198,4174425257,402062761
2352960341,872532258,3406576706,3697878849,3238146607,1259146938,391376440,3635640573,3408081330,282631432,2924138928,58015855,2816475187,3719972673,1477946892
